customer_id,age,state,credit_tier,years_with_company,prior_claims_5yr,bundled_discount
69,22,NY,Excellent,2,1,1
70,47,CT,Excellent,19,0,1
71,67,NY,Fair,3,1,0
72,29,MA,Excellent,8,0,1
73,46,CT,Poor,13,0,0
74,26,CT,Good,8,0,0
75,60,RI,Fair,4,0,0
76,47,NJ,Poor,18,1,1
77,38,NJ,Good,1,2,0
78,32,RI,Good,4,1,0
79,52,NJ,Fair,19,1,0
80,59,NJ,Good,14,0,0
81,76,CT,Good,1,0,0
82,45,PA,Fair,15,0,1
83,27,NY,Poor,19,0,1
84,69,CT,Good,1,0,0
85,57,RI,Excellent,8,0,0
86,61,RI,Good,9,1,0
87,24,CT,Good,2,0,0
88,37,MA,Excellent,4,0,1
89,65,CT,Excellent,3,0,1
90,69,MA,Fair,3,0,1
91,44,CT,Good,8,0,0
92,67,RI,Poor,9,0,1
93,70,NJ,Excellent,4,0,0
94,42,PA,Excellent,5,0,0
95,73,RI,Fair,3,0,1
96,35,NJ,Poor,15,0,1
97,32,NJ,Good,4,0,1
98,60,CT,Excellent,18,0,1
99,57,CT,Excellent,10,0,1
100,26,NJ,Good,16,0,1
101,69,CT,Good,12,3,0
102,30,CT,Good,5,0,0
103,67,MA,Excellent,12,0,0
104,18,PA,Good,5,1,0
105,67,NY,Poor,2,2,0
106,66,RI,Fair,5,1,0
107,66,NY,Good,5,0,1
108,59,MA,Excellent,2,1,1
109,47,NY,Good,0,2,1
110,61,CT,Good,18,0,0
111,35,RI,Fair,10,0,1
112,66,MA,Poor,8,1,0
113,52,NY,Poor,18,0,0
114,46,PA,Poor,4,1,0
115,49,NJ,Poor,8,0,0
116,53,NY,Poor,16,0,0
117,20,NJ,Excellent,12,0,1
118,26,RI,Excellent,7,0,1
119,33,MA,Good,5,0,1
120,25,NJ,Good,0,0,0
121,45,PA,Excellent,1,0,1
122,59,NJ,Fair,3,1,1
123,58,NY,Fair,15,1,0
124,47,CT,Good,12,0,1
125,71,MA,Excellent,8,0,0
126,53,PA,Good,15,0,0
127,22,NJ,Excellent,3,0,0
128,65,MA,Poor,4,0,0
129,53,NY,Good,7,0,0
130,57,NJ,Fair,18,0,0
131,53,NJ,Good,12,0,0
132,52,RI,Good,17,0,1
133,23,MA,Good,4,1,0
134,52,NJ,Fair,16,3,0
135,67,NY,Fair,1,0,0
136,36,PA,Excellent,4,0,1
137,55,CT,Poor,10,0,1
138,19,CT,Excellent,1,1,1
139,39,NY,Poor,17,0,0
140,45,NJ,Excellent,17,1,0
141,78,RI,Good,10,0,1
142,31,NY,Fair,6,1,0
143,35,PA,Excellent,1,0,1
144,43,NY,Good,12,1,1
145,79,CT,Good,10,0,0
146,70,CT,Excellent,15,0,1
147,20,PA,Fair,12,0,1
148,32,CT,Poor,2,0,0
149,68,PA,Poor,2,2,0
150,21,MA,Good,15,0,0
151,71,CT,Good,3,0,1
152,35,MA,Excellent,18,1,0
153,74,NJ,Excellent,2,0,0
154,36,NY,Excellent,14,0,1
155,44,RI,Poor,19,1,0
156,59,NJ,Poor,8,1,0
157,25,NY,Fair,1,1,1
158,52,NJ,Good,17,0,0
159,49,PA,Good,3,2,0
160,66,NY,Good,10,0,0
161,79,CT,Good,19,0,0
162,59,NY,Good,14,0,0
163,43,PA,Excellent,0,0,1
164,43,MA,Excellent,16,1,1
165,43,PA,Poor,3,1,0
166,68,NJ,Good,14,0,1
167,37,NJ,Poor,12,0,1
168,28,MA,Excellent,5,0,1
169,38,PA,Good,8,0,1
170,19,CT,Excellent,2,0,1
171,24,MA,Good,19,2,1
172,23,NY,Excellent,4,0,0
173,65,NY,Excellent,6,0,0
174,62,NY,Poor,10,0,0
175,61,CT,Good,13,0,0
176,46,MA,Fair,10,0,1
177,62,CT,Good,10,0,0
178,27,NJ,Good,11,0,0
179,73,NY,Good,17,0,0
180,49,NJ,Excellent,7,0,0
181,76,NJ,Poor,16,0,1
182,27,RI,Fair,15,0,1
183,48,NJ,Fair,19,0,0
184,61,NJ,Good,18,0,0
185,48,NJ,Excellent,15,0,0
186,45,NJ,Poor,4,0,0
187,28,NJ,Good,15,1,1
188,41,MA,Excellent,14,0,1
189,32,MA,Good,5,1,0
190,36,RI,Fair,13,2,0
191,60,NY,Fair,5,0,1
192,57,NJ,Fair,10,2,1
193,55,MA,Fair,15,0,0
194,40,NY,Excellent,3,0,0
195,77,NJ,Poor,6,0,0
196,23,NJ,Good,15,1,1
197,39,NJ,Fair,9,1,0
198,25,NY,Excellent,19,0,0
199,39,PA,Poor,0,0,1
200,77,NJ,Good,14,1,1
201,40,RI,Excellent,16,1,0
202,74,RI,Good,18,0,0
203,48,NJ,Excellent,3,0,0
204,61,PA,Excellent,19,1,1
205,46,CT,Fair,7,0,0
206,34,PA,Good,7,0,1
207,65,PA,Poor,7,0,1
208,78,NJ,Good,12,1,0
209,34,RI,Fair,13,0,1
210,66,NJ,Good,9,2,0
211,34,MA,Fair,1,0,0
212,62,RI,Good,19,2,1
213,66,MA,Good,4,0,0
214,45,MA,Poor,1,0,0
215,63,NJ,Good,11,0,0
216,34,PA,Excellent,8,1,0
217,22,NY,Fair,12,0,0
218,23,NY,Fair,17,2,1
219,45,CT,Excellent,1,0,1
220,73,CT,Good,5,0,1
221,25,CT,Poor,10,0,1
222,46,CT,Fair,15,0,0
223,61,PA,Poor,12,0,1
224,30,PA,Good,7,0,0
225,62,RI,Fair,12,0,0
226,36,CT,Good,19,2,1
227,68,CT,Poor,9,0,0
228,53,MA,Good,17,0,0
229,51,NJ,Fair,15,0,0
230,28,NY,Good,6,0,0
231,46,NY,Good,4,0,0
232,71,MA,Fair,15,1,0
233,19,RI,Good,4,1,1
234,65,MA,Poor,6,0,0
235,48,CT,Good,4,0,0
236,62,RI,Fair,12,0,0
237,59,PA,Good,5,0,1
238,44,CT,Good,13,1,0
239,37,NY,Good,18,0,0
240,56,RI,Excellent,16,0,0
241,26,RI,Excellent,18,0,1
242,54,PA,Fair,0,0,1
243,23,NY,Fair,9,0,1
244,58,NY,Fair,4,1,1
245,56,RI,Excellent,18,0,0
246,23,CT,Good,14,1,0
247,64,MA,Excellent,6,0,0
248,43,NJ,Fair,11,0,0
249,66,RI,Poor,12,0,0
250,20,CT,Excellent,9,0,0
251,29,NJ,Fair,9,0,0
252,48,NY,Excellent,1,1,1
253,29,NJ,Good,9,1,0
254,38,PA,Excellent,6,2,1
255,58,CT,Good,16,0,1
256,26,PA,Fair,17,0,0
257,60,NY,Poor,15,1,0
258,24,RI,Excellent,0,0,1
259,28,NY,Good,16,0,1
260,54,MA,Fair,7,1,0
261,67,RI,Poor,8,0,0
262,28,RI,Fair,18,1,1
263,36,CT,Good,17,1,1
264,75,RI,Fair,1,0,0
265,79,RI,Good,7,1,0
266,54,NY,Poor,14,1,1
267,45,PA,Good,10,0,0
268,39,NJ,Fair,5,0,1
269,55,NY,Excellent,10,0,0
270,54,CT,Good,17,0,0
271,36,RI,Poor,4,0,0
272,19,MA,Fair,14,0,0
273,27,RI,Good,14,0,1
274,77,NJ,Poor,17,0,0
275,43,NY,Poor,5,0,1
276,47,CT,Good,4,1,0
277,46,RI,Good,10,0,1
278,66,CT,Good,10,1,1
279,22,NY,Fair,8,0,1
280,23,PA,Good,15,0,0
281,35,PA,Excellent,15,0,1
282,48,PA,Poor,4,0,0
283,59,PA,Poor,15,2,1
284,48,NJ,Fair,4,1,0
285,45,MA,Poor,8,0,0
286,76,PA,Fair,0,1,0
287,27,RI,Fair,6,0,1
288,53,PA,Fair,19,0,1
289,51,NJ,Good,8,1,0
290,47,CT,Good,14,0,1
291,68,NJ,Excellent,2,0,1
292,34,NY,Fair,12,0,0
293,77,PA,Good,7,0,0
294,38,NY,Good,14,1,1
295,51,MA,Good,18,2,1
296,50,CT,Good,10,0,0
297,70,PA,Excellent,2,0,1
298,45,RI,Fair,9,0,0
299,35,CT,Poor,2,1,1
300,19,NY,Excellent,8,1,1
301,40,NY,Excellent,1,0,1
302,69,NY,Good,12,0,0
303,18,PA,Fair,6,0,0
304,73,CT,Fair,4,0,0
305,51,MA,Excellent,0,0,0
306,26,MA,Fair,17,0,1
307,36,MA,Excellent,16,1,0
308,52,PA,Good,16,0,0
309,37,PA,Poor,1,1,0
310,24,CT,Excellent,6,1,0
311,59,NJ,Excellent,19,0,0
312,59,MA,Good,11,1,1
313,25,MA,Fair,2,1,1
314,35,MA,Poor,2,1,0
315,33,MA,Poor,5,0,1
316,58,NY,Excellent,19,1,1
317,63,PA,Excellent,3,0,0
318,63,NJ,Fair,18,0,1
319,76,RI,Good,13,0,0
320,65,NY,Poor,18,2,0
321,37,CT,Fair,16,0,0
322,24,CT,Excellent,6,0,0
323,56,MA,Fair,16,0,1
324,74,MA,Excellent,3,0,1
325,78,PA,Good,5,0,1
326,32,PA,Good,4,0,1
327,32,PA,Good,2,0,1
328,20,NJ,Fair,1,0,1
329,26,NJ,Fair,3,0,0
330,52,NJ,Poor,2,1,0
331,51,NY,Poor,7,1,1
332,40,RI,Good,1,0,0
333,37,RI,Excellent,1,0,0
334,69,RI,Fair,19,0,0
335,46,NJ,Poor,1,0,1
336,68,CT,Good,1,0,0
337,77,RI,Good,0,1,0
338,37,NY,Good,2,0,0
339,30,RI,Excellent,10,0,0
340,77,NJ,Fair,16,0,1
341,57,PA,Good,14,1,0
342,36,NY,Fair,11,0,1
343,56,PA,Fair,1,0,1
344,49,PA,Fair,15,0,0
345,74,MA,Good,0,0,1
346,33,NY,Good,12,1,1
347,79,NJ,Fair,8,0,1
348,76,RI,Fair,17,0,0
349,29,RI,Good,6,0,0
350,28,PA,Poor,12,0,1
351,51,NY,Excellent,8,0,1
352,20,NJ,Poor,10,0,1
353,36,NY,Excellent,18,1,1
354,44,PA,Excellent,14,0,0
355,78,MA,Good,8,0,1
356,79,NJ,Excellent,8,0,0
357,27,CT,Excellent,14,1,1
358,73,PA,Excellent,6,1,0
359,23,NY,Good,3,0,0
360,64,NY,Fair,9,0,1
361,70,NJ,Excellent,1,1,1
362,73,NY,Fair,3,0,1
363,31,PA,Fair,8,2,0
364,73,NJ,Excellent,15,0,0
365,25,NJ,Excellent,15,0,1
366,50,CT,Poor,5,1,0
367,47,CT,Fair,8,0,0
368,37,NY,Good,3,1,1
369,19,PA,Fair,15,1,0
370,65,PA,Excellent,4,0,1
371,38,NJ,Good,15,2,0
372,59,NJ,Fair,16,0,1
373,43,NY,Good,13,0,1
374,41,MA,Fair,6,0,1
375,72,CT,Good,19,0,1
376,23,NY,Fair,13,0,0
377,63,MA,Good,12,0,1
378,64,MA,Good,17,1,1
379,41,MA,Excellent,17,0,1
380,34,CT,Excellent,1,0,1
381,18,NJ,Fair,17,0,1
382,76,PA,Excellent,15,0,1
383,76,RI,Excellent,4,0,1
384,32,NY,Excellent,6,0,0
385,19,NY,Excellent,15,0,0
386,25,MA,Fair,4,1,1
387,22,CT,Good,9,3,0
388,69,NJ,Poor,13,0,1
389,73,NJ,Excellent,13,0,1
390,27,CT,Fair,18,1,0
391,64,NY,Good,2,1,1
392,29,MA,Good,5,1,1
393,40,MA,Poor,19,0,1
394,55,RI,Poor,11,0,0
395,62,NJ,Poor,4,0,1
396,72,NJ,Excellent,5,0,0
397,20,RI,Excellent,6,0,1
398,30,PA,Fair,11,0,0
399,35,RI,Good,5,0,1
400,37,NJ,Fair,12,0,1
401,79,PA,Good,8,1,1
402,66,NY,Good,12,0,0
403,37,PA,Fair,3,0,1
404,78,RI,Fair,12,0,1
405,48,NJ,Excellent,18,0,0
406,49,PA,Excellent,2,0,1
407,44,NJ,Fair,6,1,1
408,26,RI,Good,13,1,1
409,75,MA,Good,12,0,1
410,18,PA,Good,13,0,1
411,28,NJ,Fair,11,0,1
412,32,RI,Fair,13,0,1
413,35,NY,Good,12,1,0
414,26,PA,Good,1,0,0
415,19,CT,Good,15,0,1
416,60,CT,Good,8,0,0
417,78,NJ,Good,1,0,1
418,25,RI,Good,8,0,0
419,36,RI,Fair,8,0,0
420,49,NY,Excellent,1,1,0
421,75,NJ,Excellent,19,0,0
422,61,NJ,Excellent,4,1,0
423,65,PA,Poor,6,0,0
424,54,NJ,Fair,8,0,1
425,43,NY,Excellent,16,1,0
426,30,PA,Poor,14,0,0
427,71,CT,Good,15,1,0
428,67,PA,Good,4,1,0
429,19,CT,Poor,16,0,0
430,62,MA,Excellent,16,0,1
431,23,RI,Excellent,9,0,1
432,63,RI,Good,10,0,0
433,69,PA,Excellent,0,0,1
434,26,RI,Fair,15,0,0
435,44,NJ,Excellent,19,0,0
436,25,NY,Excellent,9,2,1
437,53,CT,Excellent,10,0,0
438,75,CT,Good,9,0,1
439,23,MA,Excellent,1,1,0
440,42,CT,Excellent,12,0,0
441,78,NJ,Poor,14,2,0
442,36,RI,Good,18,0,0
443,26,PA,Good,18,0,1
444,48,NY,Excellent,9,1,0
445,49,PA,Good,19,0,1
446,59,PA,Good,10,0,1
447,37,PA,Fair,12,0,1
448,77,NY,Excellent,12,0,0
449,50,MA,Poor,19,0,0
450,35,PA,Poor,14,2,0
451,77,MA,Excellent,2,1,1
452,75,NY,Excellent,1,0,0
453,48,CT,Excellent,8,0,1
454,19,RI,Fair,10,2,1
455,55,NJ,Excellent,13,2,0
456,52,CT,Poor,9,1,1
457,27,MA,Fair,10,0,0
458,57,NJ,Fair,18,0,1
459,70,NJ,Good,6,0,0
460,24,RI,Poor,9,0,1
461,62,MA,Excellent,11,0,1
462,26,PA,Good,9,0,1
463,64,NY,Good,19,0,0
464,43,RI,Poor,19,1,1
465,18,MA,Good,10,0,0
466,77,CT,Fair,9,0,1
467,28,CT,Excellent,11,0,0
468,54,NY,Poor,3,0,0
469,29,PA,Good,8,1,0
470,75,CT,Good,4,1,0
471,63,NY,Poor,2,0,0
472,67,CT,Good,1,1,1
473,44,PA,Good,11,1,0
474,46,RI,Good,0,1,1
475,57,RI,Excellent,12,2,0
476,66,RI,Good,8,1,1
477,70,NJ,Excellent,7,0,1
478,19,RI,Excellent,15,1,0
479,59,CT,Poor,10,0,1
480,24,PA,Good,14,0,1
481,35,RI,Good,14,0,1
482,69,RI,Good,0,1,0
483,33,NY,Good,4,0,0
484,67,RI,Fair,11,0,1
485,46,NY,Poor,19,0,0
486,32,CT,Poor,3,2,1
487,38,PA,Good,2,0,0
488,50,MA,Good,18,0,1
489,65,CT,Good,19,0,0
490,55,NJ,Good,3,0,0
491,75,MA,Good,8,0,1
492,71,PA,Fair,12,0,1
493,64,NY,Good,3,0,1
494,55,CT,Good,6,0,1
495,35,PA,Good,7,0,0
496,43,NJ,Good,12,1,0
497,25,MA,Excellent,6,0,0
498,41,RI,Excellent,8,2,0
499,75,NJ,Fair,5,0,0
500,44,CT,Good,15,0,1
501,25,RI,Excellent,3,1,0
502,58,NY,Good,4,1,0
503,77,RI,Fair,4,0,0
504,71,PA,Good,18,1,0
505,34,NJ,Fair,18,3,0
506,46,RI,Poor,10,1,1
507,50,MA,Good,3,0,0
508,33,MA,Fair,15,1,1
509,34,NY,Excellent,9,0,1
510,32,PA,Poor,16,0,1
511,79,NJ,Good,7,1,1
512,64,NY,Poor,19,0,0
513,70,RI,Good,16,1,0
514,68,PA,Excellent,4,0,0
515,77,PA,Excellent,14,0,1
516,24,MA,Fair,5,1,1
517,72,RI,Good,6,0,0
518,22,NJ,Excellent,5,0,0
519,47,NY,Fair,13,1,1
520,54,NY,Poor,5,0,1
521,40,CT,Good,12,1,1
522,27,MA,Good,11,0,1
523,29,NJ,Excellent,15,0,1
524,69,PA,Fair,19,1,1
525,37,PA,Good,0,0,0
526,37,MA,Poor,19,0,0
527,75,RI,Good,2,1,1
528,26,CT,Good,10,0,1
529,74,RI,Good,6,0,0
530,75,NY,Excellent,12,1,1
531,55,NY,Fair,14,0,0
532,28,RI,Good,17,0,1
533,27,NY,Good,8,0,0
534,35,RI,Poor,18,0,1
535,53,NJ,Poor,6,0,0
536,27,PA,Poor,4,0,0
537,46,NJ,Excellent,7,0,0
538,25,MA,Good,10,1,1
539,51,RI,Poor,13,0,0
540,19,NY,Good,16,1,0
541,61,NJ,Excellent,4,1,1
542,21,CT,Fair,6,1,0
543,30,CT,Good,18,0,0
544,28,NJ,Good,8,0,0
545,69,MA,Poor,4,0,1
546,21,PA,Fair,19,0,0
547,44,PA,Good,8,1,0
548,54,RI,Good,19,0,0
549,49,RI,Good,18,2,0
550,60,NJ,Excellent,18,1,0
551,67,CT,Fair,11,0,0
552,42,NY,Fair,15,0,0
553,69,NY,Good,19,1,0
554,37,PA,Good,5,0,1
555,79,MA,Poor,0,0,0
556,49,NY,Excellent,6,1,0
557,63,NY,Good,12,1,1
558,72,CT,Good,10,1,1
559,67,CT,Fair,1,2,1
560,70,NY,Excellent,11,1,0
561,51,CT,Fair,3,0,0
562,20,CT,Good,10,0,0
563,48,NY,Fair,11,0,0
564,29,MA,Excellent,12,0,0
565,73,NJ,Good,8,0,1
566,32,CT,Good,8,0,0
567,32,MA,Excellent,13,0,1
568,33,NY,Excellent,14,0,0
569,57,PA,Excellent,16,0,0
570,53,NJ,Good,6,1,1
571,76,PA,Excellent,8,0,1
572,43,NY,Poor,6,1,0
573,35,NY,Good,10,1,1
574,21,NY,Fair,2,2,0
575,18,PA,Poor,8,0,0
576,41,PA,Excellent,3,0,1
577,75,PA,Fair,10,0,0
578,50,RI,Poor,17,1,0
579,73,NJ,Fair,19,1,0
580,24,NJ,Good,8,0,0
581,23,PA,Good,1,0,0
582,69,MA,Excellent,4,0,0
583,24,NY,Good,2,0,1
584,21,PA,Poor,15,0,1
585,43,NY,Poor,19,1,0
586,75,MA,Excellent,11,0,0
587,60,NJ,Fair,3,0,1
588,24,MA,Good,0,1,0
589,69,PA,Poor,19,0,0
590,70,PA,Excellent,6,0,1
591,67,MA,Poor,2,0,0
592,73,NJ,Fair,3,0,0
593,32,PA,Excellent,5,0,0
594,78,RI,Excellent,13,0,0
595,37,MA,Fair,17,1,0
596,67,NJ,Excellent,5,1,1
597,53,NJ,Good,13,3,0
598,66,NJ,Poor,1,0,1
599,56,CT,Good,0,1,1
600,57,MA,Good,1,0,0
601,56,PA,Good,18,0,0
602,66,MA,Excellent,11,0,0
603,63,MA,Poor,16,1,1
604,26,MA,Good,0,0,0
605,69,MA,Excellent,0,0,1
606,51,CT,Good,16,0,1
607,38,NY,Poor,2,0,1
608,49,PA,Excellent,3,0,1
609,77,CT,Poor,10,1,1
610,71,MA,Fair,12,0,1
611,69,CT,Fair,4,0,1
612,46,NJ,Poor,8,0,1
613,66,MA,Fair,13,0,1
614,41,RI,Poor,8,0,1
615,60,NJ,Excellent,7,0,0
616,57,RI,Fair,1,1,1
617,33,NJ,Good,9,0,0
618,34,NY,Good,16,0,1
619,21,PA,Poor,12,1,0
620,26,NY,Poor,17,2,1
621,44,PA,Fair,2,0,1
622,47,PA,Good,0,1,1
623,28,NJ,Good,10,0,0
624,43,RI,Good,3,0,1
625,55,MA,Good,11,0,1
626,32,RI,Good,18,0,1
627,38,RI,Excellent,6,0,1
628,40,PA,Excellent,10,0,1
629,49,MA,Fair,13,0,1
630,40,RI,Good,3,0,0
631,63,NY,Poor,17,1,1
632,38,MA,Fair,4,0,0
633,44,MA,Excellent,16,0,1
634,41,NJ,Excellent,13,0,1
635,29,MA,Excellent,2,0,0
636,60,CT,Poor,14,0,0
637,32,NY,Excellent,3,0,0
638,36,NJ,Good,11,0,1
639,67,MA,Poor,19,0,0
640,76,PA,Poor,19,0,0
641,59,RI,Excellent,17,0,1
642,74,NJ,Excellent,9,0,0
643,70,PA,Excellent,11,0,1
644,47,NY,Excellent,6,0,0
645,65,CT,Excellent,18,0,0
646,38,CT,Good,9,0,0
647,46,PA,Poor,15,0,0
648,51,PA,Good,7,0,0
649,77,RI,Fair,14,1,1
650,70,CT,Excellent,4,0,0
651,48,MA,Fair,14,0,0
652,58,CT,Fair,0,1,0
653,30,CT,Poor,2,0,0
654,67,MA,Poor,7,1,1
655,52,NJ,Good,9,1,0
656,51,CT,Excellent,14,0,1
657,65,PA,Excellent,7,0,0
658,57,NY,Good,0,0,0
659,22,MA,Poor,6,1,0
660,35,NJ,Good,8,1,0
661,28,RI,Fair,10,0,1
662,63,MA,Good,12,1,0
663,20,CT,Excellent,4,1,0
664,30,CT,Good,12,1,1
665,55,PA,Fair,12,0,1
666,61,CT,Fair,15,1,1
667,49,NJ,Good,10,0,1
668,71,NY,Excellent,16,0,1
669,74,RI,Fair,4,1,1
670,26,CT,Excellent,14,2,1
671,77,PA,Poor,0,0,0
672,56,RI,Excellent,2,1,1
673,57,NY,Excellent,17,0,0
674,23,MA,Good,9,1,1
675,56,PA,Good,12,0,1
676,62,MA,Good,12,1,0
677,54,NY,Good,13,0,1
678,23,NY,Poor,4,0,1
679,50,MA,Good,3,1,0
680,76,NY,Good,0,0,0
681,62,CT,Good,17,0,1
682,26,CT,Excellent,4,0,1
683,77,MA,Good,11,0,0
684,77,CT,Excellent,9,0,0
685,28,NY,Fair,3,1,1
686,67,PA,Excellent,8,1,0
687,43,CT,Poor,1,0,0
688,54,CT,Good,3,0,0
689,45,CT,Poor,2,0,0
690,66,NJ,Good,16,2,1
691,79,MA,Excellent,11,0,1
692,67,NY,Fair,18,1,1
693,75,CT,Fair,8,1,1
694,76,MA,Fair,4,0,0
695,23,NY,Good,12,0,0
696,33,NY,Fair,18,0,0
697,62,NJ,Poor,10,0,0
698,54,RI,Fair,0,3,0
699,21,NY,Good,6,0,0
700,23,PA,Fair,18,0,0
701,50,NJ,Fair,10,0,0
702,56,MA,Poor,19,0,1
703,28,MA,Good,10,0,1
704,28,MA,Good,0,0,1
705,26,NJ,Fair,17,0,1
706,53,MA,Good,15,0,1
707,18,PA,Fair,14,0,0
708,53,NY,Good,19,0,1
709,47,PA,Excellent,3,1,0
710,46,RI,Fair,18,1,0
711,60,NY,Excellent,4,1,0
712,50,MA,Excellent,19,1,0
713,63,RI,Fair,3,0,0
714,65,MA,Fair,11,0,1
715,75,MA,Poor,15,0,1
716,67,PA,Good,1,0,1
717,50,NY,Excellent,1,0,1
718,48,CT,Poor,16,0,0
719,32,NY,Excellent,1,0,0
720,55,NY,Excellent,12,0,1
721,26,PA,Good,18,0,0
722,75,RI,Good,12,1,0
723,70,MA,Poor,9,0,0
724,25,CT,Fair,8,0,1
725,66,NJ,Fair,12,0,1
726,25,CT,Excellent,11,0,0
727,62,MA,Good,10,0,1
728,23,CT,Good,3,0,0
729,48,CT,Excellent,13,1,0
730,58,PA,Good,14,1,0
731,63,CT,Good,14,0,0
732,43,CT,Excellent,1,1,1
733,75,PA,Good,14,1,0
734,66,MA,Fair,14,0,1
735,30,RI,Excellent,3,0,0
736,59,CT,Good,16,1,1
737,63,CT,Fair,10,2,1
738,38,CT,Fair,9,0,1
739,63,RI,Fair,14,2,1
740,73,NJ,Good,10,0,1
741,68,NY,Fair,10,0,0
742,65,MA,Excellent,6,0,1
743,57,CT,Good,18,1,1
744,34,NJ,Excellent,19,0,0
745,67,MA,Good,2,0,0
746,40,NJ,Good,14,0,0
747,50,RI,Excellent,0,0,0
748,37,PA,Fair,7,1,0
749,37,NY,Good,19,0,0
750,27,CT,Good,3,1,1
751,77,MA,Excellent,7,0,0
752,27,PA,Good,4,0,1
753,23,NJ,Good,14,2,0
754,76,NJ,Good,9,0,1
755,52,NY,Excellent,11,0,0
756,45,CT,Fair,18,0,0
757,63,PA,Poor,10,0,0
758,41,RI,Good,14,2,1
759,25,PA,Fair,1,2,0
760,63,PA,Poor,4,0,1
761,28,MA,Poor,18,1,0
762,52,MA,Fair,17,1,1
763,76,MA,Poor,13,0,0
764,76,PA,Poor,7,1,1
765,40,NJ,Fair,3,0,0
766,66,NY,Good,17,0,0
767,55,PA,Excellent,15,0,0
768,47,NJ,Excellent,4,0,0
769,26,PA,Good,11,0,0
770,41,PA,Good,12,0,1
771,58,CT,Good,9,0,0
772,79,NY,Good,18,0,0
773,18,RI,Good,2,1,1
774,62,RI,Fair,5,0,0
775,70,CT,Excellent,1,0,0
776,76,MA,Excellent,13,0,1
777,44,NJ,Fair,12,1,1
778,25,RI,Fair,19,0,1
779,34,CT,Poor,10,2,0
780,70,NJ,Poor,3,2,1
781,72,MA,Poor,9,0,0
782,57,MA,Good,1,0,1
783,25,NJ,Good,13,0,1
784,25,NY,Good,13,0,1
785,47,NJ,Fair,17,0,0
786,54,MA,Poor,6,0,0
787,20,RI,Good,6,1,1
788,60,CT,Good,1,0,0
789,51,PA,Good,8,0,0
790,18,CT,Excellent,9,0,1
791,23,RI,Excellent,15,0,1
792,46,NY,Excellent,15,3,0
793,62,NY,Poor,2,1,0
794,69,CT,Good,5,0,0
795,44,RI,Fair,10,0,0
796,36,CT,Fair,6,0,0
797,78,NJ,Excellent,0,0,1
798,46,RI,Excellent,16,0,1
799,37,PA,Fair,14,1,0
800,45,RI,Good,10,2,0
